iter	Passed	Remaining
0	0	90
1	2	111
2	3	122
3	4	103
4	5	107
5	6	108
6	8	110
7	9	114
8	11	116
9	13	118
10	14	115
11	15	110
12	16	110
13	17	109
14	19	109
15	20	107
16	21	107
17	23	105
18	24	105
19	26	106
20	27	104
21	28	101
22	30	100
23	31	100
24	33	99
25	34	99
26	36	98
27	37	97
28	39	96
29	40	95
30	41	92
31	43	91
32	45	92
33	47	91
34	48	90
35	50	89
36	52	89
37	54	88
38	55	87
39	57	86
40	59	85
41	59	82
42	61	81
43	62	79
44	64	78
45	66	77
46	67	76
47	69	74
48	70	73
49	72	72
50	74	71
51	75	70
52	77	68
53	78	67
54	79	65
55	81	63
56	82	62
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	93	50
65	94	48
66	96	47
67	97	45
68	98	44
69	99	42
70	101	41
71	102	39
72	103	38
73	104	36
74	105	35
75	106	33
76	107	32
77	108	30
78	110	29
79	110	27
80	112	26
81	113	24
82	114	23
83	115	21
84	116	20
85	116	19
86	117	17
87	118	16
88	120	14
89	120	13
90	121	12
91	122	10
92	123	9
93	124	7
94	124	6
95	125	5
96	126	3
97	127	2
98	128	1
99	129	0
